Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jimmy Butler,26,67,67,36.9,7.0,15.4,.454,1.0,3.1,.312,6.1,12.4,.489,.485,5.9,7.1,.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9
2,Pau Gasol,35,72,72,31.8,6.5,13.8,.469,0.3,1.0,.348,6.2,12.9,.478,.481,3.2,4.0,.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5
3,Derrick Rose,27,66,66,31.8,6.8,15.9,.427,0.7,2.3,.293,6.1,13.6,.449,.448,2.2,2.7,.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4
4,Taj Gibson,30,73,55,26.5,3.6,6.8,.526,0.0,0.0,.000,3.6,6.8,.529,.526,1.4,2.0,.692,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,8.6
5,Nikola Mirotic,24,66,38,24.9,3.8,9.2,.407,2.0,5.2,.390,1.7,4.0,.430,.518,2.2,2.7,.807,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,11.8
6,Doug McDermott,24,81,4,23.0,3.6,8.0,.452,1.4,3.2,.425,2.2,4.8,.470,.537,0.9,1.0,.857,0.5,2.0,2.4,0.7,0.2,0.1,0.7,1.6,9.4
7,Mike Dunleavy,35,31,30,22.7,2.5,6.1,.410,1.3,3.2,.394,1.2,2.9,.427,.513,0.9,1.2,.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2
8,Joakim Noah,30,29,2,21.9,1.8,4.6,.383,0.0,0.0,.000,1.8,4.6,.386,.383,0.8,1.6,.489,3.0,5.8,8.8,3.8,0.6,1.0,1.8,2.7,4.3
9,E'Twaun Moore,26,59,22,21.4,3.2,6.6,.481,0.8,1.8,.452,2.4,4.8,.491,.541,0.4,0.6,.629,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,7.5
10,Tony Snell,24,64,33,20.3,2.0,5.3,.372,0.9,2.4,.361,1.1,2.9,.380,.454,0.5,0.5,.909,0.3,2.8,3.1,1.0,0.3,0.3,0.8,1.6,5.3
11,Justin Holiday,26,27,4,18.9,2.4,5.7,.413,1.0,2.2,.433,1.4,3.5,.400,.497,0.8,1.0,.815,0.3,2.0,2.3,1.7,0.7,0.6,1.0,1.5,6.5
12,Bobby Portis,20,62,4,17.8,3.0,7.0,.427,0.3,0.8,.308,2.7,6.2,.443,.445,0.8,1.1,.727,2.0,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7.0
13,Aaron Brooks,31,69,0,16.1,2.7,6.8,.401,1.0,2.7,.357,1.8,4.1,.430,.471,0.7,0.9,.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1
14,Kirk Hinrich,35,35,7,15.9,1.3,3.4,.398,0.7,1.6,.411,0.7,1.8,.387,.496,0.4,0.5,.938,0.2,1.5,1.7,1.7,0.4,0.0,0.8,1.8,3.8
15,Cristiano Felicio,23,31,4,10.4,1.3,2.3,.556,0.0,0.1,.000,1.3,2.2,.588,.556,0.8,1.1,.714,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4
16,Cameron Bairstow,25,18,2,5.7,0.7,2.2,.325,0.1,0.3,.200,0.7,1.9,.343,.338,0.4,0.4,.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9
