Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Paul George,25,81,81,34.8,7.5,17.9,.418,2.6,7.0,.371,4.9,10.9,.447,.490,5.6,6.5,.860,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1
2,George Hill,29,74,73,34.1,4.4,10.0,.441,1.7,4.2,.408,2.7,5.7,.466,.528,1.5,2.0,.760,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,12.1
3,Monta Ellis,30,81,81,33.8,5.4,12.6,.427,1.1,3.5,.309,4.3,9.1,.472,.470,2.0,2.5,.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8
4,Ian Mahinmi,29,71,71,25.6,3.7,6.3,.589,0.0,0.0,0.0,3.7,6.3,.589,.589,1.9,3.2,.587,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3
5,C.J. Miles,28,64,24,22.9,4.0,9.9,.409,2.2,6.0,.367,1.8,3.9,.474,.521,1.5,1.9,.750,0.4,2.3,2.7,1.0,0.8,0.5,1.1,2.2,11.8
6,Myles Turner,19,60,30,22.8,4.4,8.8,.498,0.1,0.2,.214,4.4,8.6,.506,.501,1.5,2.0,.727,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3
7,Rodney Stuckey,29,58,1,22.0,3.2,7.6,.413,0.3,1.4,.241,2.8,6.2,.453,.436,2.3,2.7,.829,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9
8,Jordan Hill,28,73,11,20.7,3.8,7.5,.506,0.0,0.0,.000,3.8,7.5,.507,.506,1.2,1.7,.712,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
9,Lavoy Allen,26,79,28,20.2,2.4,4.7,.516,0.0,0.0,0.0,2.4,4.7,.516,.516,0.6,0.9,.630,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4
10,Ty Lawson,28,13,1,18.1,2.2,5.2,.418,0.4,1.1,.357,1.8,4.1,.434,.455,0.2,0.5,.500,0.5,1.9,2.4,4.4,0.8,0.1,1.0,1.2,4.9
11,Chase Budinger,27,49,2,14.9,1.7,4.0,.418,0.4,1.4,.290,1.2,2.6,.488,.469,0.7,1.0,.708,0.6,1.8,2.5,1.0,0.6,0.2,0.6,0.9,4.4
12,Solomon Hill,24,59,3,14.7,1.6,3.5,.447,0.4,1.3,.324,1.2,2.3,.515,.505,0.6,0.7,.857,0.7,2.2,2.8,1.0,0.6,0.2,0.6,1.2,4.2
13,Glenn Robinson,22,45,4,11.3,1.4,3.4,.430,0.3,0.8,.378,1.1,2.5,.447,.477,0.6,0.9,.692,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
14,Joe Young,23,41,0,9.4,1.5,4.1,.367,0.2,1.1,.217,1.3,3.0,.423,.396,0.5,0.6,.800,0.1,1.1,1.2,1.6,0.4,0.0,0.8,0.7,3.8
15,Rakeem Christmas,24,1,0,6.0,2.0,2.0,1.000,0.0,0.0,0.0,2.0,2.0,1.000,1.000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
16,Shayne Whittington,24,7,0,5.9,0.7,1.6,.455,0.0,0.3,.000,0.7,1.3,.556,.455,0.1,0.3,.500,0.7,1.0,1.7,0.4,0.1,0.1,0.7,1.0,1.6
