Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Anthony Davis,22,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
2,Eric Gordon,27,45,44,32.9,5.1,12.3,.418,2.5,6.5,.384,2.6,5.7,.457,.521,2.5,2.8,.888,0.2,2.0,2.2,2.7,1.0,0.3,1.6,2.2,15.2
3,James Ennis,25,9,5,31.3,5.6,11.1,.500,2.7,5.6,.480,2.9,5.6,.520,.620,2.1,2.7,.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9
4,Tyreke Evans,26,25,25,30.6,5.4,12.6,.433,1.3,3.4,.388,4.1,9.2,.450,.486,3.0,3.7,.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2
5,Ryan Anderson,27,66,7,30.4,6.0,14.1,.427,2.0,5.4,.366,4.0,8.7,.466,.498,3.0,3.5,.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
6,Tim Frazier,25,16,1,29.3,4.8,10.6,.450,0.8,1.9,.419,3.9,8.6,.457,.488,2.8,3.7,.763,0.9,3.5,4.4,7.5,1.4,0.1,2.4,2.6,13.1
7,Jrue Holiday,25,65,23,28.2,6.3,14.4,.439,1.3,4.0,.336,5.0,10.4,.478,.485,2.8,3.3,.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8
8,Jordan Hamilton,25,11,4,27.6,4.5,10.5,.422,1.2,4.1,.289,3.3,6.5,.507,.478,1.3,1.9,.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
9,Norris Cole,27,45,23,26.6,4.4,10.8,.405,0.7,2.3,.324,3.6,8.5,.427,.439,1.2,1.4,.800,0.2,3.1,3.4,3.7,0.8,0.1,1.7,2.3,10.6
10,Dante Cunningham,28,80,46,24.6,2.3,5.2,.451,0.7,2.2,.316,1.6,3.0,.550,.518,0.7,1.0,.695,0.7,2.2,3.0,1.0,0.5,0.4,0.5,2.2,6.1
11,Ish Smith,27,27,3,22.9,3.6,8.4,.430,0.4,1.2,.303,3.3,7.2,.451,.452,1.2,1.6,.767,0.5,2.9,3.4,5.7,0.9,0.2,1.7,1.4,8.9
12,Alonzo Gee,28,73,38,22.4,1.8,3.5,.518,0.2,0.8,.283,1.6,2.7,.590,.551,0.6,0.9,.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5
13,Toney Douglas,29,61,18,20.7,3.0,7.3,.411,1.3,3.3,.399,1.7,4.0,.421,.502,1.4,1.6,.848,0.4,1.9,2.3,2.6,1.1,0.1,1.0,2.1,8.7
14,Bryce Dejean-Jones,23,14,11,19.9,2.0,4.9,.406,0.9,2.3,.375,1.1,2.6,.432,.493,0.8,1.5,.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6
15,Luke Babbitt,26,47,13,18.0,2.6,6.1,.422,0.9,2.3,.404,1.7,3.8,.433,.498,0.8,1.1,.780,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0
16,Omer Asik,29,68,64,17.3,1.5,2.9,.533,0.0,0.0,0.0,1.5,2.9,.533,.533,0.9,1.6,.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0
17,Kendrick Perkins,31,37,5,14.6,1.1,2.0,.533,0.0,0.0,0.0,1.1,2.0,.533,.533,0.3,0.7,.440,0.7,2.8,3.5,0.8,0.3,0.3,1.1,1.7,2.5
18,Alexis Ajinca,27,59,17,14.6,2.5,5.3,.476,0.0,0.0,.000,2.5,5.3,.478,.476,0.9,1.1,.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0
19,Nate Robinson,31,2,1,11.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.0
20,Orlando Johnson,26,5,1,10.8,0.8,3.4,.235,0.2,1.0,.200,0.6,2.4,.250,.265,0.2,0.4,.500,0.2,1.0,1.2,0.4,0.2,0.0,0.6,0.8,2.0
21,Jimmer Fredette,26,4,0,3.3,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.3,0.5
