Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Indiana Pacers,108,Cleveland Cavaliers,109,H
Utah Jazz,97,Los Angeles Clippers,95,V
Memphis Grizzlies,82,San Antonio Spurs,111,H
Milwaukee Bucks,97,Toronto Raptors,83,V
Chicago Bulls,106,Boston Celtics,102,V
Portland Trail Blazers,109,Golden State Warriors,121,H
Oklahoma City Thunder,87,Houston Rockets,118,H
Atlanta Hawks,107,Washington Wizards,114,H
Indiana Pacers,111,Cleveland Cavaliers,117,H
Memphis Grizzlies,82,San Antonio Spurs,96,H
Chicago Bulls,111,Boston Celtics,97,V
Utah Jazz,91,Los Angeles Clippers,99,H
Milwaukee Bucks,100,Toronto Raptors,106,H
Portland Trail Blazers,81,Golden State Warriors,110,H
Oklahoma City Thunder,111,Houston Rockets,115,H
Atlanta Hawks,101,Washington Wizards,109,H
Cleveland Cavaliers,119,Indiana Pacers,114,V
San Antonio Spurs,94,Memphis Grizzlies,105,H
Toronto Raptors,77,Milwaukee Bucks,104,H
Boston Celtics,104,Chicago Bulls,87,V
Houston Rockets,113,Oklahoma City Thunder,115,H
Los Angeles Clippers,111,Utah Jazz,106,V
Washington Wizards,98,Atlanta Hawks,116,H
San Antonio Spurs,108,Memphis Grizzlies,110,H
Toronto Raptors,87,Milwaukee Bucks,76,V
Golden State Warriors,119,Portland Trail Blazers,113,V
Boston Celtics,104,Chicago Bulls,95,V
Cleveland Cavaliers,106,Indiana Pacers,102,V
Houston Rockets,113,Oklahoma City Thunder,109,V
Los Angeles Clippers,98,Utah Jazz,105,H
Washington Wizards,101,Atlanta Hawks,111,H
Golden State Warriors,128,Portland Trail Blazers,103,V
Milwaukee Bucks,93,Toronto Raptors,118,H
Oklahoma City Thunder,99,Houston Rockets,105,H
Utah Jazz,96,Los Angeles Clippers,92,V
Memphis Grizzlies,103,San Antonio Spurs,116,H
Chicago Bulls,97,Boston Celtics,108,H
Atlanta Hawks,99,Washington Wizards,103,H
San Antonio Spurs,103,Memphis Grizzlies,96,V
Toronto Raptors,92,Milwaukee Bucks,89,V
Washington Wizards,115,Atlanta Hawks,99,V
Boston Celtics,105,Chicago Bulls,83,V
Los Angeles Clippers,98,Utah Jazz,93,V
Washington Wizards,111,Boston Celtics,123,H
Utah Jazz,104,Los Angeles Clippers,91,V
Toronto Raptors,105,Cleveland Cavaliers,116,H
Houston Rockets,126,San Antonio Spurs,99,V
Washington Wizards,119,Boston Celtics,129,H
Utah Jazz,94,Golden State Warriors,106,H
Toronto Raptors,103,Cleveland Cavaliers,125,H
Houston Rockets,96,San Antonio Spurs,121,H
Utah Jazz,104,Golden State Warriors,115,H
Boston Celtics,89,Washington Wizards,116,H
San Antonio Spurs,103,Houston Rockets,92,V
Cleveland Cavaliers,115,Toronto Raptors,94,V
Golden State Warriors,102,Utah Jazz,91,V
San Antonio Spurs,104,Houston Rockets,125,H
Cleveland Cavaliers,109,Toronto Raptors,102,V
Boston Celtics,102,Washington Wizards,121,H
Golden State Warriors,121,Utah Jazz,95,V
Houston Rockets,107,San Antonio Spurs,110,H
Washington Wizards,101,Boston Celtics,123,H
San Antonio Spurs,114,Houston Rockets,75,V
Boston Celtics,91,Washington Wizards,92,H
San Antonio Spurs,111,Golden State Warriors,113,H
Washington Wizards,105,Boston Celtics,115,H
San Antonio Spurs,100,Golden State Warriors,136,H
Cleveland Cavaliers,117,Boston Celtics,104,V
Cleveland Cavaliers,130,Boston Celtics,86,V
Golden State Warriors,120,San Antonio Spurs,108,V
Boston Celtics,111,Cleveland Cavaliers,108,V
Golden State Warriors,129,San Antonio Spurs,115,V
Boston Celtics,99,Cleveland Cavaliers,112,H
Cleveland Cavaliers,135,Boston Celtics,102,V
Cleveland Cavaliers,91,Golden State Warriors,113,H
Cleveland Cavaliers,113,Golden State Warriors,132,H
Golden State Warriors,118,Cleveland Cavaliers,113,V
Golden State Warriors,116,Cleveland Cavaliers,137,H
Cleveland Cavaliers,120,Golden State Warriors,129,H
