Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Detroit Pistons,106,Atlanta Hawks,94,V
Cleveland Cavaliers,95,Chicago Bulls,97,H
New Orleans Pelicans,95,Golden State Warriors,111,H
Philadelphia 76ers,95,Boston Celtics,112,H
Chicago Bulls,115,Brooklyn Nets,100,V
Utah Jazz,87,Detroit Pistons,92,H
Denver Nuggets,105,Houston Rockets,85,V
Minnesota Timberwolves,112,Los Angeles Lakers,111,V
Cleveland Cavaliers,106,Memphis Grizzlies,76,V
Charlotte Hornets,94,Miami Heat,104,H
New York Knicks,122,Milwaukee Bucks,97,V
San Antonio Spurs,106,Oklahoma City Thunder,112,H
Washington Wizards,88,Orlando Magic,87,V
Dallas Mavericks,111,Phoenix Suns,95,V
New Orleans Pelicans,94,Portland Trail Blazers,112,H
Los Angeles Clippers,111,Sacramento Kings,104,V
Indiana Pacers,99,Toronto Raptors,106,H
Memphis Grizzlies,112,Indiana Pacers,103,V
Dallas Mavericks,88,Los Angeles Clippers,104,H
Atlanta Hawks,112,New York Knicks,101,V
Charlotte Hornets,94,Atlanta Hawks,97,H
Toronto Raptors,113,Boston Celtics,103,V
Miami Heat,92,Cleveland Cavaliers,102,H
Minnesota Timberwolves,95,Denver Nuggets,78,V
Chicago Bulls,94,Detroit Pistons,98,H
Golden State Warriors,112,Houston Rockets,92,V
Washington Wizards,118,Milwaukee Bucks,113,V
Oklahoma City Thunder,139,Orlando Magic,136,V
Utah Jazz,99,Philadelphia 76ers,71,V
Portland Trail Blazers,92,Phoenix Suns,110,H
Los Angeles Lakers,114,Sacramento Kings,132,H
Brooklyn Nets,75,San Antonio Spurs,102,H
Utah Jazz,97,Indiana Pacers,76,V
Sacramento Kings,109,Los Angeles Clippers,114,H
Brooklyn Nets,91,Memphis Grizzlies,101,H
Golden State Warriors,134,New Orleans Pelicans,120,V
Phoenix Suns,101,Portland Trail Blazers,90,V
New York Knicks,117,Washington Wizards,110,V
San Antonio Spurs,95,Boston Celtics,87,V
Orlando Magic,87,Chicago Bulls,92,H
Atlanta Hawks,94,Charlotte Hornets,92,V
Dallas Mavericks,103,Los Angeles Lakers,93,V
Houston Rockets,89,Miami Heat,109,H
Denver Nuggets,93,Oklahoma City Thunder,117,H
Milwaukee Bucks,87,Toronto Raptors,106,H
Milwaukee Bucks,103,Brooklyn Nets,96,V
Memphis Grizzlies,69,Golden State Warriors,119,H
Oklahoma City Thunder,105,Houston Rockets,110,H
Phoenix Suns,96,Los Angeles Clippers,102,H
Portland Trail Blazers,106,Minnesota Timberwolves,101,V
San Antonio Spurs,94,New York Knicks,84,V
Cleveland Cavaliers,107,Philadelphia 76ers,100,V
Chicago Bulls,105,Charlotte Hornets,130,H
Toronto Raptors,102,Dallas Mavericks,91,V
Indiana Pacers,94,Detroit Pistons,82,V
Denver Nuggets,120,Los Angeles Lakers,109,V
Atlanta Hawks,98,Miami Heat,92,V
Orlando Magic,103,New Orleans Pelicans,94,V
Memphis Grizzlies,103,Sacramento Kings,89,V
Brooklyn Nets,87,Atlanta Hawks,101,H
New York Knicks,86,Cleveland Cavaliers,96,H
Los Angeles Clippers,108,Golden State Warriors,112,H
Orlando Magic,114,Houston Rockets,119,H
Boston Celtics,98,Indiana Pacers,100,H
Philadelphia 76ers,87,Milwaukee Bucks,91,H
Toronto Raptors,103,Oklahoma City Thunder,98,V
Sacramento Kings,97,Phoenix Suns,118,H
Portland Trail Blazers,108,Utah Jazz,92,V
San Antonio Spurs,99,Washington Wizards,102,H
Oklahoma City Thunder,98,Chicago Bulls,104,H
Charlotte Hornets,108,Dallas Mavericks,94,V
Utah Jazz,96,Denver Nuggets,84,V
Miami Heat,96,Minnesota Timberwolves,84,V
Memphis Grizzlies,96,Portland Trail Blazers,115,H
Washington Wizards,98,Boston Celtics,118,H
Los Angeles Lakers,104,Brooklyn Nets,98,V
Philadelphia 76ers,102,Cleveland Cavaliers,108,H
Denver Nuggets,104,Golden State Warriors,119,H
Miami Heat,87,Indiana Pacers,90,H
Atlanta Hawks,121,New Orleans Pelicans,115,V
Milwaukee Bucks,99,New York Knicks,92,V
Toronto Raptors,87,Orlando Magic,92,H
Detroit Pistons,100,Phoenix Suns,92,V
Houston Rockets,116,Sacramento Kings,110,V
Washington Wizards,99,Atlanta Hawks,114,H
Minnesota Timberwolves,102,Chicago Bulls,93,V
New Orleans Pelicans,98,Dallas Mavericks,107,H
Houston Rockets,109,Los Angeles Clippers,105,V
Brooklyn Nets,86,Milwaukee Bucks,94,H
Orlando Magic,105,Philadelphia 76ers,97,V
