Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Justise Winslow,20,18,15,34.7,4.4,12.5,.356,0.4,1.9,.200,4.1,10.6,.384,.371,1.6,2.6,.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9
2,Goran Dragic,30,73,73,33.7,7.3,15.4,.475,1.6,4.0,.405,5.7,11.4,.499,.527,4.1,5.2,.790,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3
3,Hassan Whiteside,27,77,77,32.6,7.0,12.6,.557,0.0,0.0,0.0,7.0,12.6,.557,.557,2.9,4.6,.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0
4,Josh Richardson,23,53,34,30.5,3.8,9.7,.394,1.4,4.3,.330,2.4,5.4,.444,.467,1.1,1.5,.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2
5,Dion Waiters,25,46,43,30.1,6.1,14.4,.424,1.8,4.7,.395,4.3,9.7,.438,.488,1.8,2.8,.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8
6,Tyler Johnson,24,73,0,29.8,4.9,11.3,.433,1.3,3.4,.372,3.6,7.9,.460,.490,2.7,3.5,.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7
7,James Johnson,29,76,5,27.4,4.8,10.1,.479,1.1,3.4,.340,3.7,6.8,.548,.535,2.0,2.8,.707,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8
8,Rodney McGruder,25,78,65,25.2,2.4,5.9,.413,0.9,2.8,.332,1.5,3.1,.488,.492,0.6,0.9,.620,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4
9,Wayne Ellington,29,62,13,24.2,3.7,9.0,.416,2.4,6.4,.378,1.3,2.6,.509,.550,0.6,0.7,.860,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5
10,Josh McRoberts,29,22,14,17.3,2.0,5.4,.373,0.6,1.4,.419,1.4,4.0,.356,.428,0.3,0.4,.667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9
11,Luke Babbitt,27,68,55,15.7,1.7,4.1,.402,1.3,3.1,.414,0.4,1.0,.366,.557,0.2,0.2,.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
12,Derrick Williams,25,25,11,15.1,2.2,5.5,.394,0.4,1.8,.200,1.8,3.7,.489,.427,1.2,2.0,.620,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9
13,Willie Reed,26,71,5,14.5,2.3,4.0,.568,0.0,0.1,.250,2.3,4.0,.573,.570,0.7,1.2,.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3
14,Okaro White,24,35,0,13.5,0.9,2.5,.379,0.3,1.0,.353,0.6,1.5,.396,.448,0.6,0.6,.909,0.7,1.6,2.3,0.6,0.3,0.3,0.5,1.5,2.8
15,Udonis Haslem,36,16,0,8.1,0.7,1.4,.478,0.0,0.2,.000,0.7,1.3,.550,.478,0.6,0.9,.600,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9
