Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,LeBron James,33,82,82,36.9,10.5,19.3,.542,1.8,5.0,.367,8.6,14.3,.603,.590,4.7,6.5,.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.6,27.5
2,J.R. Smith,32,80,61,28.1,3.0,7.4,.403,1.8,4.8,.375,1.2,2.7,.453,.524,0.5,0.7,.696,0.4,2.6,2.9,1.8,0.9,0.1,1.0,2.0,8.3
3,Kevin Love,29,59,59,28.0,5.7,12.4,.458,2.3,5.6,.415,3.3,6.8,.494,.552,4.0,4.5,.880,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2.0,17.6
4,George Hill,31,24,24,27.9,3.5,7.8,.444,1.1,3.2,.351,2.3,4.6,.509,.516,1.4,1.7,.805,0.8,1.8,2.7,2.8,0.9,0.6,1.2,2.2,9.4
5,Isaiah Thomas,28,15,14,27.1,4.7,12.9,.361,1.5,5.8,.253,3.2,7.1,.449,.418,3.9,4.5,.868,0.5,1.6,2.1,4.5,0.6,0.1,2.7,1.7,14.7
6,Jae Crowder,27,53,47,25.4,3.0,7.1,.418,1.2,3.6,.328,1.8,3.5,.508,.500,1.5,1.7,.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6
7,Rodney Hood,25,21,11,25.3,4.2,9.5,.442,1.2,3.4,.352,3.0,6.1,.492,.505,1.2,1.5,.813,0.4,2.2,2.6,1.4,0.7,0.2,0.3,2.0,10.8
8,Jeff Green,31,78,13,23.4,3.8,7.9,.477,0.7,2.2,.312,3.1,5.7,.540,.520,2.6,3.0,.868,0.8,2.4,3.2,1.3,0.5,0.4,1.0,1.9,10.8
9,Dwyane Wade,36,46,3,23.2,4.3,9.5,.455,0.5,1.5,.329,3.8,7.9,.479,.482,2.0,2.9,.701,0.8,3.1,3.9,3.5,0.9,0.7,2.0,1.8,11.2
10,Jordan Clarkson,25,28,0,22.6,4.7,10.3,.456,1.6,3.9,.407,3.1,6.4,.486,.533,1.7,2.1,.810,0.5,1.6,2.1,1.7,0.7,0.1,1.1,1.6,12.6
11,Kyle Korver,36,73,4,21.6,3.0,6.6,.459,2.2,5.2,.436,0.8,1.5,.537,.628,0.9,1.0,.889,0.1,2.1,2.3,1.2,0.4,0.4,0.8,1.8,9.2
12,Larry Nance,25,24,10,20.8,3.7,6.7,.550,0.0,0.3,.125,3.6,6.3,.572,.553,1.5,2.1,.720,2.2,4.8,7.0,1.0,1.2,0.8,0.4,2.5,8.9
13,Tristan Thompson,26,53,22,20.2,2.5,4.4,.562,0.0,0.0,0.0,2.5,4.4,.562,.562,0.8,1.5,.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8
14,Iman Shumpert,27,14,6,19.7,1.6,4.1,.379,0.5,1.9,.269,1.1,2.3,.469,.440,0.8,1.1,.733,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,4.4
15,Derrick Rose,29,16,7,19.3,3.6,8.3,.439,0.4,1.5,.250,3.3,6.8,.481,.462,2.2,2.6,.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8
16,Jose Calderon,36,57,32,16.0,1.6,3.2,.503,0.8,1.7,.464,0.8,1.5,.545,.624,0.4,0.5,.800,0.2,1.2,1.5,2.1,0.5,0.0,0.7,1.4,4.5
17,Kendrick Perkins,33,1,0,15.0,1.0,2.0,.500,0.0,0.0,0.0,1.0,2.0,.500,.500,1.0,2.0,.500,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0
18,Channing Frye,34,44,1,12.4,1.9,3.8,.497,0.7,2.0,.333,1.2,1.8,.684,.586,0.3,0.3,.933,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,4.8
19,Cedi Osman,22,61,12,11.0,1.5,3.0,.484,0.5,1.4,.368,1.0,1.6,.586,.570,0.4,0.8,.565,0.3,1.7,2.0,0.7,0.4,0.0,0.5,1.3,3.9
20,John Holland,29,24,0,7.3,0.7,2.5,.288,0.5,1.5,.306,0.3,1.0,.261,.381,0.4,0.5,.692,0.3,0.8,1.0,0.2,0.3,0.1,0.3,0.4,2.3
21,Ante Zizic,21,32,2,6.7,1.5,2.1,.731,0.0,0.0,0.0,1.5,2.1,.731,.731,0.7,0.9,.724,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7
22,London Perrantes,23,14,0,4.7,0.1,0.9,.154,0.0,0.2,.000,0.1,0.7,.200,.154,0.2,0.4,.600,0.1,0.2,0.3,0.4,0.1,0.1,0.1,0.4,0.5
