RANK,TEAM,GP,W,L,WINp,MIN,EFGp,FTA RATE,TOVp,OREBp,OPP EFGp,OPP FTA?RATE,OPP TOVp,OPP OREBp
1,Golden State Warriors,17,16,1,0.941,816,56.7,0.292,13.3,22.4,48.7,0.277,13.6,23.4
2,Cleveland Cavaliers,18,13,5,0.722,864,57.9,0.316,13.3,23.6,52.1,0.235,13.2,23.9
3,Houston Rockets,11,6,5,0.545,533,51.4,0.304,13.9,22.7,50.2,0.267,12.6,28.3
4,Washington Wizards,13,7,6,0.538,629,50.5,0.281,13.6,26.6,52.5,0.317,14.6,23.8
5,Boston Celtics,18,9,9,0.5,869,53.2,0.242,13.9,22.2,53.1,0.284,14.6,28.5
5,San Antonio Spurs,16,8,8,0.5,778,51.2,0.277,13.1,29.1,53.9,0.255,14.3,21.5
7,LA Clippers,7,3,4,0.429,336,52.6,0.312,13.2,19.9,54.2,0.308,13.3,18
8,Toronto Raptors,10,4,6,0.4,480,49.3,0.283,13.5,17.3,53.9,0.295,14.2,18.8
9,Utah Jazz,11,4,7,0.364,528,51.5,0.298,12.9,16.8,53.3,0.296,12.3,18.7
10,Milwaukee Bucks,6,2,4,0.333,288,50.3,0.267,14.4,19.1,49.4,0.347,15.5,19.4
10,Atlanta Hawks,6,2,4,0.333,288,49.3,0.343,15.7,26.4,50.2,0.279,12.9,22.7
10,Chicago Bulls,6,2,4,0.333,288,48.3,0.24,16.3,29.6,53.4,0.214,13,21.5
10,Memphis Grizzlies,6,2,4,0.333,293,51,0.263,12.6,20.3,54.5,0.322,12.6,26.1
14,Oklahoma City Thunder,5,1,4,0.2,240,49,0.309,12.8,26,51.3,0.401,14.4,25.2
15,Portland Trail Blazers,4,0,4,0,192,45.8,0.271,14.5,20.6,55.6,0.327,12,19
15,Indiana Pacers,4,0,4,0,192,53,0.247,13.5,28.3,56.5,0.323,13.1,24.8
