Players,Team,MP,FG,FGA,FGp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeAndre' Bembry,ATL,354,47,98,0.4796,1,18,0.0556,6,16,0.3750,14,45,59,28,8,5,16,21,101
Dennis Schroder,ATL,2444,548,1214,0.4514,100,294,0.3401,218,255,0.8549,42,206,248,499,74,16,258,149,1414
Dwight Howard,ATL,2167,388,613,0.6330,0,2,0.0000,226,424,0.5330,296,644,940,104,64,92,170,203,1002
Edy Tavares,ATL,3,1,1,1.0000,0,0,,0,2,0.0000,0,1,1,0,0,0,0,0,2
Ersan Ilyasova,ATL,621,93,226,0.4115,32,92,0.3478,52,65,0.8000,42,109,151,43,22,8,34,73,270
Gary Neal,ATL,17,0,7,0.0000,0,2,0.0000,4,4,1.0000,0,1,1,1,0,0,0,1,4
Jose Calderon,ATL,238,23,57,0.4035,8,30,0.2667,7,8,0.8750,7,25,32,37,4,0,15,14,61
Kent Bazemore,ATL,1929,295,721,0.4092,92,266,0.3459,119,168,0.7083,45,186,231,177,91,52,125,165,801
Kris Humphries,ATL,658,87,214,0.4065,19,54,0.3519,64,82,0.7805,60,146,206,29,15,21,28,69,257
Kyle Korver,ATL,877,108,246,0.4390,65,159,0.4088,24,27,0.8889,0,89,89,75,23,13,40,47,305
Lamar Patterson,ATL,38,3,15,0.2000,1,6,0.1667,2,3,0.6667,1,6,7,6,1,0,4,6,9
Malcolm Delaney,ATL,1215,145,388,0.3737,26,110,0.2364,75,93,0.8065,10,113,123,193,39,1,95,112,391
Mike Dunleavy,ATL,457,57,130,0.4385,33,77,0.4286,22,26,0.8462,13,55,68,30,9,5,14,35,169
Mike Muscala,ATL,1205,170,337,0.5045,46,110,0.4182,49,64,0.7656,76,164,240,95,30,41,55,97,435
Mike Scott,ATL,186,17,59,0.2881,4,27,0.1481,7,8,0.8750,10,27,37,17,4,3,8,12,45
Paul Millsap,ATL,2308,430,972,0.4424,75,241,0.3112,311,405,0.7679,111,422,533,252,90,62,158,186,1246
Ryan Kelly,ATL,103,8,28,0.2857,4,10,0.4000,5,6,0.8333,1,17,18,8,4,5,4,5,25
Taurean Waller-Prince,ATL,953,114,285,0.4000,33,102,0.3235,74,94,0.7872,25,132,157,55,43,27,61,96,335
Thabo Sefolosha,ATL,1563,174,395,0.4405,41,120,0.3417,55,75,0.7333,54,216,270,107,96,31,58,97,444
Tim Hardaway,ATL,2116,415,912,0.4550,149,417,0.3573,164,214,0.7664,35,189,224,182,55,15,106,103,1143
Al Horford,BOS,2158,379,801,0.4732,86,242,0.3554,108,135,0.8000,95,370,465,337,52,86,115,138,952
Amir Johnson,BOS,1566,213,370,0.5757,27,66,0.4091,67,100,0.6700,118,248,366,140,51,62,77,211,520
Avery Bradley,BOS,1807,359,775,0.4632,108,277,0.3899,68,93,0.7312,65,269,334,122,68,11,88,141,894
Demetrius Jackson,BOS,15,3,4,0.7500,1,1,1.0000,3,6,0.5000,2,2,4,3,0,0,0,0,10
Gerald Green,BOS,514,95,232,0.4095,39,111,0.3514,33,41,0.8049,16,68,84,33,9,7,25,48,262
Isaiah Thomas,BOS,2529,682,1473,0.4630,245,646,0.3793,590,649,0.9091,43,162,205,448,70,13,210,167,2199
Jae Crowder,BOS,2297,333,720,0.4625,157,394,0.3985,176,217,0.8111,48,367,415,155,73,23,80,161,999
James Young,BOS,206,25,58,0.4310,12,35,0.3429,6,9,0.6667,6,20,26,4,10,2,4,15,68
Jaylen Brown,BOS,1297,192,423,0.4539,46,135,0.3407,85,124,0.6855,45,175,220,64,35,18,68,142,515
Jonas Jerebko,BOS,1197,114,262,0.4351,45,130,0.3462,26,37,0.7027,59,213,272,71,25,17,39,122,299
