team,FG,FGA,FGp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,3123,6918,0.451,729,2137,0.341,1484,2039,0.728,842,2793,3635,1938,672,397,1249,1491,8459
BOS,3168,6978,0.454,985,2742,0.359,1536,1903,0.807,744,2698,3442,2069,617,340,1037,1686,8857
BRK,3102,6987,0.444,877,2591,0.338,1592,2020,0.788,721,2879,3600,1756,593,387,1307,1726,8673
CHI,3169,7141,0.444,623,1831,0.340,1474,1848,0.798,999,2797,3796,1851,643,393,1065,1455,8435
CHO,3093,7000,0.442,824,2347,0.351,1591,1953,0.815,721,2853,3574,1891,571,390,899,1360,8601
CLE,3275,6963,0.470,1067,2779,0.384,1431,1913,0.748,766,2821,3587,1858,539,327,1081,1486,9048
DAL,2968,6750,0.440,878,2473,0.355,1215,1516,0.801,647,2516,3163,1705,614,307,921,1567,8029
DEN,3377,7194,0.469,870,2365,0.368,1537,1986,0.774,966,2837,3803,2077,568,323,1186,1567,9161
DET,3269,7282,0.449,631,1915,0.330,1140,1586,0.719,908,2838,3746,1732,574,310,932,1467,8309
GSW,3532,7140,0.495,982,2562,0.383,1457,1850,0.788,770,2873,3643,2491,785,555,1182,1585,9503
HOU,3305,7152,0.462,1181,3306,0.357,1667,2177,0.766,892,2746,3638,2070,670,352,1188,1634,9458
IND,3221,6931,0.465,709,1885,0.376,1467,1811,0.810,742,2702,3444,1844,669,409,1087,1597,8618
LAC,3242,6820,0.475,841,2245,0.375,1586,2128,0.745,738,2790,3528,1848,612,347,1022,1626,8911
LAL,3224,7164,0.450,730,2110,0.346,1397,1853,0.754,933,2636,3569,1716,674,320,1193,1698,8575
MEM,2984,6854,0.435,767,2169,0.354,1504,1918,0.784,886,2621,3507,1744,653,344,1019,1840,8239
MIA,3202,7037,0.455,808,2213,0.365,1248,1768,0.706,872,2705,3577,1742,588,469,1033,1680,8460
MIL,3182,6715,0.474,720,1946,0.370,1413,1839,0.768,723,2589,3312,1984,666,436,1096,1660,8497
MIN,3235,6922,0.467,601,1723,0.349,1586,1986,0.799,938,2540,3478,1940,654,370,1099,1646,8657
NOP,3210,7130,0.450,768,2196,0.350,1368,1825,0.750,703,2879,3582,1869,638,453,1012,1490,8556
NYK,3244,7256,0.447,704,2022,0.348,1364,1731,0.788,983,2723,3706,1786,581,455,1081,1668,8556
OKC,3237,7169,0.452,692,2116,0.327,1575,2113,0.745,1002,2821,3823,1721,648,408,1199,1715,8741
ORL,3139,7133,0.440,701,2139,0.328,1309,1753,0.747,807,2734,3541,1820,580,396,1053,1584,8288
PHI,3088,6992,0.442,831,2443,0.340,1393,1806,0.771,807,2706,3513,1949,692,420,1310,1793,8400
PHO,3270,7260,0.450,615,1854,0.332,1676,2159,0.776,976,2712,3688,1604,673,399,1223,2030,8831
POR,3243,7059,0.459,852,2272,0.375,1513,1940,0.780,830,2750,3580,1733,574,408,1077,1736,8851
SAC,3105,6734,0.461,737,1960,0.376,1483,1913,0.775,715,2652,3367,1844,627,324,1157,1667,8430
SAS,3222,6864,0.469,753,1927,0.391,1440,1806,0.797,821,2777,3598,1954,655,484,1057,1498,8637
TOR,3211,6918,0.464,725,1996,0.363,1615,2028,0.796,871,2676,3547,1517,677,400,969,1708,8762
UTA,3033,6515,0.466,791,2128,0.372,1401,1875,0.747,771,2774,3545,1651,550,410,1060,1545,8258
WAS,3388,7137,0.475,756,2030,0.372,1421,1812,0.784,843,2671,3514,1956,693,336,1103,1745,8953
