HT,HFG,HFGA,H3P,H3Pp,HTRB,HPTS,HP,HW,HC,VT,VFG,VFGA,V3P,V3Pp,VTRB,VPTS,VP,VW,VC,RET
CLE,3275,6963,1067,0.384,3587,9048,11308.396,0.579,0.622,NYK,3244,7256,704,0.348,3706,8556,8710.459,0.415,0.37799999999999995,1
GSW,3532,7140,982,0.38299999999999995,3643,9503,11055.784,0.579,0.8170000000000001,SAS,3222,6864,753,0.391,3598,8637,9263.841,0.415,0.7440000000000001,-1
POR,3243,7059,852,0.375,3580,8851,9765.196,0.579,0.518,UTA,3033,6515,791,0.37200000000000005,3545,8258,9223.688,0.415,0.622,1
BOS,3168,6978,985,0.359,3442,8857,10525.548999999999,0.579,0.6459999999999999,BRK,3102,6987,877,0.33799999999999997,3600,8673,8806.689,0.415,0.244,1
IND,3221,6931,709,0.376,3444,8618,8765.311,0.579,0.512,DAL,2968,6750,878,0.355,3163,8029,9366.25,0.415,0.402,1
LAL,3224,7164,730,0.34600000000000003,3569,8575,8296.810000000001,0.579,0.317,HOU,3305,7152,1181,0.35700000000000004,3638,9458,12003.931999999995,0.415,0.6709999999999999,1
MEM,2984,6854,767,0.354,3507,8239,8914.511,0.579,0.524,MIN,3235,6922,601,0.349,3478,8657,8256.684000000001,0.415,0.37799999999999995,1
MIL,3182,6715,720,0.37,3312,8497,8835.627,0.579,0.512,CHA,3235,6922,601,0.349,3478,8657,8256.684000000001,0.415,0.37799999999999995,-1
NOP,3210,7130,768,0.35,3582,8556,8793.823,0.579,0.415,DEN,3377,7194,870,0.368,3803,9161,9770.991999999998,0.415,0.488,-1
ORL,3139,7133,701,0.32799999999999996,3541,8288,8450.805,0.579,0.354,MIA,3202,7037,808,0.365,3577,8460,9595.928000000002,0.415,0.5,-1
PHI,3088,6992,831,0.34,3513,8400,8660.148000000001,0.579,0.341,OKC,3237,7169,692,0.327,3823,8741,8478.88,0.415,0.573,-1
PHO,3270,7260,615,0.332,3688,8831,7592.565,0.579,0.293,SAC,3105,6734,737,0.376,3367,8430,8270.836000000001,0.415,0.39,-1
TOR,3211,6918,725,0.363,3547,8762,8950.711,0.579,0.652,DET,3269,7282,631,0.33,3746,8309,8439.212,0.415,0.451,1
ATL,3123,6918,729,0.341,3635,8459,8465.061,0.579,0.524,WAS,3388,7137,756,0.37200000000000005,3514,8953,9280.232,0.415,0.573,1
CHI,3169,7141,623,0.34,3796,8435,8133.815,0.579,0.5,BOS,3168,6978,985,0.359,3442,8857,10525.548999999999,0.415,0.6459999999999999,1
POR,3243,7059,852,0.375,3580,8851,9765.196,0.579,0.518,LAC,3242,6820,841,0.375,3528,8911,9900.701,0.415,0.622,-1
SAC,3105,6734,737,0.376,3367,8430,8270.836000000001,0.579,0.39,SAS,3222,6864,753,0.391,3598,8637,9263.841,0.415,0.7440000000000001,-1
BRK,3102,6987,877,0.33799999999999997,3600,8673,8806.689,0.579,0.244,IND,3221,6931,709,0.376,3444,8618,8765.311,0.415,0.512,1
DAL,2968,6750,878,0.355,3163,8029,9366.25,0.579,0.402,HOU,3305,7152,1181,0.35700000000000004,3638,9458,12003.931999999995,0.415,0.6709999999999999,-1
DET,3269,7282,631,0.33,3746,8309,8439.212,0.579,0.451,ORL,3139,7133,701,0.32799999999999996,3541,8288,8450.805,0.415,0.354,1
