HT,HPTS,HP,HW,HC,VT,VPTS,VP,VW,VC,RET
CLE,9048,11818.941,0.579,0.622,BOS,8857,10118.253,0.415,0.6459999999999999,1
GSW,9503,10985.374,0.579,0.8170000000000001,HOU,9458,11505.219,0.415,0.6709999999999999,-1
BOS,8857,10118.253,0.579,0.6459999999999999,MIL,8497,9548.466999999999,0.415,0.512,-1
DAL,8029,8965.266,0.579,0.402,ATL,8459,7819.476,0.415,0.524,-1
DET,8309,9665.3,0.579,0.451,CHO,8601,9854.734,0.415,0.439,1
IND,8618,8707.464,0.579,0.512,BRK,8673,8642.961,0.415,0.244,1
MEM,8239,8101.665,0.579,0.524,NOP,8556,9374.789,0.415,0.415,1
ORL,8288,8610.673,0.579,0.354,MIA,8460,9959.973,0.415,0.5,1
PHO,8831,8519.06,0.579,0.293,POR,8851,9242.277,0.415,0.518,-1
SAC,8430,7683.94,0.579,0.39,HOU,9458,11505.219,0.415,0.6709999999999999,-1
SAS,8637,8867.79,0.579,0.7440000000000001,MIN,8657,10216.868,0.415,0.37799999999999995,1
UTA,8258,9237.843,0.579,0.622,DEN,9161,9846.373,0.415,0.488,1
WAS,8953,9530.891,0.579,0.573,PHI,8400,9261.556999999999,0.415,0.341,1
LAL,8575,9934.864,0.579,0.317,LAC,8911,10960.425,0.415,0.622,-1
OKC,8741,9474.283000000001,0.579,0.573,NYK,8556,8760.896999999999,0.415,0.37799999999999995,1
TOR,8762,8777.806,0.579,0.652,CHI,8435,7633.666,0.415,0.5,1
BRK,8673,8642.961,0.579,0.244,ORL,8288,8610.673,0.415,0.354,1
CHO,8601,9854.734,0.579,0.439,ATL,8459,7819.476,0.415,0.524,1
DAL,8029,8965.266,0.579,0.402,SAC,8430,7683.94,0.415,0.39,-1
IND,8618,8707.464,0.579,0.512,POR,8851,9242.277,0.415,0.518,-1
MIL,8497,9548.466999999999,0.579,0.512,CLE,9048,11818.941,0.415,0.622,-1
MIN,8657,10216.868,0.579,0.37799999999999995,UTA,8258,9237.843,0.415,0.622,1
NOP,8556,9374.789,0.579,0.415,GSW,9503,10985.374,0.415,0.8170000000000001,-1
PHI,8400,9261.556999999999,0.579,0.341,BOS,8857,10118.253,0.415,0.6459999999999999,-1
PHO,8831,8519.06,0.579,0.293,LAL,8575,9934.864,0.415,0.317,-1
WAS,8953,9530.891,0.579,0.573,DET,8309,9665.3,0.415,0.451,1
CHI,8435,7633.666,0.579,0.5,SAS,8637,8867.79,0.415,0.7440000000000001,-1
CLE,9048,11818.941,0.579,0.622,ORL,8288,8610.673,0.415,0.354,-1
DEN,9161,9846.373,0.579,0.488,SAC,8430,7683.94,0.415,0.39,1
HOU,9458,11505.219,0.579,0.6709999999999999,DAL,8029,8965.266,0.415,0.402,1
LAC,8911,10960.425,0.579,0.622,PHO,8831,8519.06,0.415,0.293,1
MEM,8239,8101.665,0.579,0.524,GSW,9503,10985.374,0.415,0.8170000000000001,1
MIA,8460,9959.973,0.579,0.5,IND,8618,8707.464,0.415,0.512,1
MIL,8497,9548.466999999999,0.579,0.512,POR,8851,9242.277,0.415,0.518,1
NYK,8556,8760.896999999999,0.579,0.37799999999999995,DET,8309,9665.3,0.415,0.451,-1
TOR,8762,8777.806,0.579,0.652,PHI,8400,9261.556999999999,0.415,0.341,1
UTA,8258,9237.843,0.579,0.622,OKC,8741,9474.283000000001,0.415,0.573,1
BRK,8673,8642.961,0.579,0.244,ATL,8459,7819.476,0.415,0.524,1
LAL,8575,9934.864,0.579,0.317,NOP,8556,9374.789,0.415,0.415,-1
OKC,8741,9474.283000000001,0.579,0.573,MIN,8657,10216.868,0.415,0.37799999999999995,-1
DAL,8029,8965.266,0.579,0.402,GSW,9503,10985.374,0.415,0.8170000000000001,-1
DEN,9161,9846.373,0.579,0.488,WAS,8953,9530.891,0.415,0.573,-1
DET,8309,9665.3,0.579,0.451,PHI,8400,9261.556999999999,0.415,0.341,-1
HOU,9458,11505.219,0.579,0.6709999999999999,MEM,8239,8101.665,0.415,0.524,-1
MIA,8460,9959.973,0.579,0.5,ATL,8459,7819.476,0.415,0.524,1
MIL,8497,9548.466999999999,0.579,0.512,CHO,8601,9854.734,0.415,0.439,1
PHO,8831,8519.06,0.579,0.293,SAC,8430,7683.94,0.415,0.39,1
SAS,8637,8867.79,0.579,0.7440000000000001,TOR,8762,8777.806,0.415,0.652,1
BOS,8857,10118.253,0.579,0.6459999999999999,NYK,8556,8760.896999999999,0.415,0.37799999999999995,1
CLE,9048,11818.941,0.579,0.622,CHI,8435,7633.666,0.415,0.5,1
LAC,8911,10960.425,0.579,0.622,UTA,8258,9237.843,0.415,0.622,1
MIN,8657,10216.868,0.579,0.37799999999999995,IND,8618,8707.464,0.415,0.512,-1
ORL,8288,8610.673,0.579,0.354,BRK,8673,8642.961,0.415,0.244,1
POR,8851,9242.277,0.579,0.518,NOP,8556,9374.789,0.415,0.415,1
BRK,8673,8642.961,0.579,0.244,CLE,9048,11818.941,0.415,0.622,1
CHO,8601,9854.734,0.579,0.439,DEN,9161,9846.373,0.415,0.488,1
DAL,8029,8965.266,0.579,0.402,MEM,8239,8101.665,0.415,0.524,1
DET,8309,9665.3,0.579,0.451,MIN,8657,10216.868,0.415,0.37799999999999995,1
GSW,9503,10985.374,0.579,0.8170000000000001,TOR,8762,8777.806,0.415,0.652,1
LAL,8575,9934.864,0.579,0.317,WAS,8953,9530.891,0.415,0.573,1
MIA,8460,9959.973,0.579,0.5,SAS,8637,8867.79,0.415,0.7440000000000001,-1
OKC,8741,9474.283000000001,0.579,0.573,IND,8618,8707.464,0.415,0.512,1
PHI,8400,9261.556999999999,0.579,0.341,HOU,9458,11505.219,0.415,0.6709999999999999,-1
PHO,8831,8519.06,0.579,0.293,UTA,8258,9237.843,0.415,0.622,1
CHI,8435,7633.666,0.579,0.5,ATL,8459,7819.476,0.415,0.524,1
MEM,8239,8101.665,0.579,0.524,DAL,8029,8965.266,0.415,0.402,1
MIL,8497,9548.466999999999,0.579,0.512,BOS,8857,10118.253,0.415,0.6459999999999999,-1
POR,8851,9242.277,0.579,0.518,LAC,8911,10960.425,0.415,0.622,-1
SAC,8430,7683.94,0.579,0.39,NOP,8556,9374.789,0.415,0.415,-1
ATL,8459,7819.476,0.579,0.524,DEN,9161,9846.373,0.415,0.488,-1
CHO,8601,9854.734,0.579,0.439,HOU,9458,11505.219,0.415,0.6709999999999999,-1
GSW,9503,10985.374,0.579,0.8170000000000001,WAS,8953,9530.891,0.415,0.573,1
LAL,8575,9934.864,0.579,0.317,TOR,8762,8777.806,0.415,0.652,-1
MIN,8657,10216.868,0.579,0.37799999999999995,OKC,8741,9474.283000000001,0.415,0.573,1
NYK,8556,8760.896999999999,0.579,0.37799999999999995,BRK,8673,8642.961,0.415,0.244,1
ORL,8288,8610.673,0.579,0.354,SAS,8637,8867.79,0.415,0.7440000000000001,1
CHI,8435,7633.666,0.579,0.5,OKC,8741,9474.283000000001,0.415,0.573,-1
DAL,8029,8965.266,0.579,0.402,PHI,8400,9261.556999999999,0.415,0.341,-1
LAC,8911,10960.425,0.579,0.622,DET,8309,9665.3,0.415,0.451,-1
MEM,8239,8101.665,0.579,0.524,HOU,9458,11505.219,0.415,0.6709999999999999,1
MIA,8460,9959.973,0.579,0.5,BOS,8857,10118.253,0.415,0.6459999999999999,-1
NOP,8556,9374.789,0.579,0.415,CLE,9048,11818.941,0.415,0.622,1
POR,8851,9242.277,0.579,0.518,PHO,8831,8519.06,0.415,0.293,1
UTA,8258,9237.843,0.579,0.622,LAL,8575,9934.864,0.415,0.317,1
